index,query,actual_topic,predicted_topic,correct,cumulative_accuracy,rolling_accuracy,drift_alert,phase
67,which papers explain global temperature anomalies for the project report,climate_science,climate_science,TRUE,0.6119,0.72,FALSE,stable_pre_drift
68,find evidence on how did COP28 address the global stocktake,uae_cop28,uae_cop28,TRUE,0.6176,0.74,FALSE,stable_pre_drift
69,summarize documents about how does energy efficiency support climate mitigation,mitigation,policy_governance,FALSE,0.6087,0.74,FALSE,stable_pre_drift
70,how can smart grids improve clean energy integration focusing on satellite,technology_innovation,technology_innovation,TRUE,0.6143,0.76,FALSE,stable_pre_drift
71,which source explains what evidence links carbon pricing to emissions reduction,mitigation,mitigation,TRUE,0.6197,0.78,FALSE,stable_pre_drift
72,what role does machine learning play in climate analysis for the project report,technology_innovation,technology_innovation,TRUE,0.625,0.8,FALSE,stable_pre_drift
73,which AI methods are used in climate forecasting papers focusing on green hydrogen,technology_innovation,technology_innovation,TRUE,0.6301,0.82,FALSE,stable_pre_drift
74,find evidence on what evidence links carbon pricing to emissions reduction,mitigation,mitigation,TRUE,0.6351,0.84,FALSE,stable_pre_drift
75,retrieve climate evidence for which documents discuss UAE renewable energy commitments,uae_cop28,uae_cop28,TRUE,0.64,0.86,FALSE,stable_pre_drift
76,answer using citations about show evidence about disaster risk reduction and resilience,adaptation,mitigation,FALSE,0.6316,0.84,FALSE,stable_pre_drift
77,find evidence on explain the science behind climate feedback loops,climate_science,climate_science,TRUE,0.6364,0.84,FALSE,stable_pre_drift
78,show climate evidence about methane reduction strategies focusing on renewables,mitigation,mitigation,TRUE,0.641,0.84,FALSE,stable_pre_drift
79,how can renewable energy reduce greenhouse gas emissions focusing on net zero,mitigation,mitigation,TRUE,0.6456,0.86,FALSE,stable_pre_drift
80,how did COP28 address the global stocktake focusing on UAE consensus,uae_cop28,uae_cop28,TRUE,0.65,0.86,FALSE,stable_pre_drift
81,what role does machine learning play in climate analysis with source support,technology_innovation,technology_innovation,TRUE,0.6543,0.86,FALSE,stable_pre_drift
82,show climate evidence about methane reduction strategies for the GraphRAG agent,mitigation,mitigation,TRUE,0.6585,0.86,FALSE,stable_pre_drift
83,show evidence about satellite monitoring for climate risks with source support,technology_innovation,technology_innovation,TRUE,0.6627,0.86,FALSE,stable_pre_drift
84,how do climate models project future warming focusing on models,climate_science,adaptation,FALSE,0.6548,0.86,FALSE,stable_pre_drift
85,show evidence about disaster risk reduction and resilience for the GraphRAG agent,adaptation,adaptation,TRUE,0.6588,0.86,FALSE,stable_pre_drift
86,which innovations support green hydrogen deployment focusing on satellite,technology_innovation,technology_innovation,TRUE,0.6628,0.86,FALSE,stable_pre_drift
87,what evidence discusses climate resilience for agriculture focusing on flood risk,adaptation,adaptation,TRUE,0.6667,0.86,FALSE,stable_pre_drift
88,what evidence links carbon pricing to emissions reduction focusing on net zero,mitigation,mitigation,TRUE,0.6705,0.88,FALSE,stable_pre_drift
89,answer using citations about show documents about climate finance policy,policy_governance,policy_governance,TRUE,0.6742,0.88,FALSE,stable_pre_drift
90,how does energy efficiency support climate mitigation focusing on emissions,mitigation,mitigation,TRUE,0.6778,0.88,FALSE,stable_pre_drift
91,summarize documents about what evidence discusses climate resilience for agriculture,adaptation,policy_governance,FALSE,0.6703,0.86,FALSE,stable_pre_drift
92,how can cities adapt to extreme heat and flooding for the GraphRAG agent,adaptation,adaptation,TRUE,0.6739,0.86,FALSE,stable_pre_drift
93,which documents discuss net zero mitigation pathways in the evidence graph,mitigation,mitigation,TRUE,0.6774,0.86,FALSE,stable_pre_drift
94,which documents discuss UAE renewable energy commitments focusing on global stocktake,uae_cop28,uae_cop28,TRUE,0.6809,0.86,FALSE,stable_pre_drift
95,which documents discuss net zero mitigation pathways for the GraphRAG agent,mitigation,mitigation,TRUE,0.6842,0.86,FALSE,stable_pre_drift
96,what does the dataset say about how can renewable energy reduce greenhouse gas emissions,mitigation,mitigation,TRUE,0.6875,0.86,FALSE,stable_pre_drift
97,what evidence discusses carbon market governance using reliable citations,policy_governance,policy_governance,TRUE,0.6907,0.88,FALSE,stable_pre_drift
98,which adaptation measures protect coastal communities focusing on resilience,adaptation,adaptation,TRUE,0.6939,0.9,FALSE,stable_pre_drift
99,what mitigation actions reduce fossil fuel dependence with source support,mitigation,mitigation,TRUE,0.697,0.92,FALSE,stable_pre_drift
100,how did COP28 address the global stocktake with source support,uae_cop28,uae_cop28,TRUE,0.7,0.92,FALSE,stable_pre_drift
101,how did COP28 address the global stocktake for the GraphRAG agent,uae_cop28,uae_cop28,TRUE,0.703,0.92,FALSE,stable_pre_drift
102,show documents about climate finance policy from the climate PDFs,policy_governance,policy_governance,TRUE,0.7059,0.92,FALSE,stable_pre_drift
103,show documents about climate finance policy from the climate PDFs,policy_governance,policy_governance,TRUE,0.7087,0.92,FALSE,stable_pre_drift
104,show evidence about satellite monitoring for climate risks with source support,technology_innovation,technology_innovation,TRUE,0.7115,0.92,FALSE,stable_pre_drift
105,how do climate models project future warming using reliable citations,climate_science,climate_science,TRUE,0.7143,0.92,FALSE,stable_pre_drift
106,what role does machine learning play in climate analysis in the evidence graph,technology_innovation,technology_innovation,TRUE,0.717,0.92,FALSE,stable_pre_drift
107,which UAE initiatives were discussed in the COP28 documents focusing on loss and damage,uae_cop28,uae_cop28,TRUE,0.7196,0.92,FALSE,stable_pre_drift
108,answer using citations about which UAE initiatives were discussed in the COP28 documents,uae_cop28,uae_cop28,TRUE,0.7222,0.92,FALSE,stable_pre_drift
109,summarize documents about which documents discuss UAE renewable energy commitments,uae_cop28,uae_cop28,TRUE,0.7248,0.92,FALSE,stable_pre_drift
110,how did COP28 address the global stocktake focusing on UAE consensus,uae_cop28,uae_cop28,TRUE,0.7273,0.92,FALSE,stable_pre_drift
111,which source explains how can cities adapt to extreme heat and flooding,adaptation,adaptation,TRUE,0.7297,0.92,FALSE,stable_pre_drift
112,which AI methods are used in climate forecasting papers for the project report,technology_innovation,technology_innovation,TRUE,0.7321,0.92,FALSE,stable_pre_drift
113,what technologies support carbon capture and storage from the climate PDFs,technology_innovation,policy_governance,FALSE,0.7257,0.9,FALSE,stable_pre_drift
114,show evidence about disaster risk reduction and resilience focusing on resilience,adaptation,adaptation,TRUE,0.7281,0.9,FALSE,stable_pre_drift
115,answer using citations about how does energy efficiency support climate mitigation,mitigation,mitigation,TRUE,0.7304,0.9,FALSE,stable_pre_drift
116,which innovations support green hydrogen deployment with source support,technology_innovation,technology_innovation,TRUE,0.7328,0.9,FALSE,stable_pre_drift
117,what governance mechanisms support national climate plans using reliable citations,policy_governance,policy_governance,TRUE,0.735,0.9,FALSE,stable_pre_drift
118,how can smart grids improve clean energy integration for the project report,technology_innovation,technology_innovation,TRUE,0.7373,0.9,FALSE,stable_pre_drift
119,which innovations support green hydrogen deployment focusing on carbon capture,technology_innovation,technology_innovation,TRUE,0.7395,0.92,FALSE,stable_pre_drift
120,summarize documents about what evidence mentions the UAE consensus and transition away from fossil fuels,uae_cop28,uae_cop28,TRUE,0.7417,0.92,FALSE,stable_pre_drift
121,how did COP28 address the global stocktake for the GraphRAG agent,uae_cop28,uae_cop28,TRUE,0.7438,0.92,FALSE,stable_pre_drift
122,what does the dataset say about which climate policies address renewable energy targets,policy_governance,policy_governance,TRUE,0.7459,0.92,FALSE,stable_pre_drift
123,summarize documents about explain the science behind climate feedback loops,climate_science,climate_science,TRUE,0.748,0.92,FALSE,stable_pre_drift
124,show documents about climate finance policy focusing on regulation,policy_governance,policy_governance,TRUE,0.75,0.92,FALSE,stable_pre_drift
125,which source explains how does energy efficiency support climate mitigation,mitigation,mitigation,TRUE,0.752,0.92,FALSE,stable_pre_drift
126,which climate policies address renewable energy targets focusing on regulation,policy_governance,policy_governance,TRUE,0.754,0.94,FALSE,stable_pre_drift
127,what evidence discusses carbon market governance focusing on NDC,policy_governance,policy_governance,TRUE,0.7559,0.94,FALSE,stable_pre_drift
128,what does the dataset say about which innovations support green hydrogen deployment,technology_innovation,technology_innovation,TRUE,0.7578,0.94,FALSE,stable_pre_drift
129,what evidence links emissions to radiative forcing for the project report,climate_science,climate_science,TRUE,0.7597,0.94,FALSE,stable_pre_drift
130,show evidence about satellite monitoring for climate risks for the GraphRAG agent,technology_innovation,technology_innovation,TRUE,0.7615,0.94,FALSE,stable_pre_drift
131,which regulations support climate accountability for the project report,policy_governance,technology_innovation,FALSE,0.7557,0.92,FALSE,stable_pre_drift
132,what evidence mentions the UAE consensus and transition away from fossil fuels focusing on UAE consensus,uae_cop28,uae_cop28,TRUE,0.7576,0.92,FALSE,stable_pre_drift
133,what adaptation policies help water security focusing on resilience,adaptation,adaptation,TRUE,0.7594,0.92,FALSE,stable_pre_drift
134,which source explains show evidence about satellite monitoring for climate risks,technology_innovation,technology_innovation,TRUE,0.7612,0.94,FALSE,stable_pre_drift
135,which source explains how does drought planning reduce climate risk,adaptation,adaptation,TRUE,0.763,0.94,FALSE,stable_pre_drift
136,which source explains which papers explain global temperature anomalies,climate_science,climate_science,TRUE,0.7647,0.94,FALSE,stable_pre_drift
137,what evidence links emissions to radiative forcing focusing on sea level,climate_science,climate_science,TRUE,0.7664,0.94,FALSE,stable_pre_drift
138,which climate policies address renewable energy targets focusing on NDC,policy_governance,policy_governance,TRUE,0.7681,0.94,FALSE,stable_pre_drift
139,which papers explain global temperature anomalies focusing on models,climate_science,climate_science,TRUE,0.7698,0.94,FALSE,stable_pre_drift
140,what were the major climate outcomes from COP28 in the UAE focusing on COP28,uae_cop28,uae_cop28,TRUE,0.7714,0.94,FALSE,stable_pre_drift
141,which source explains how can cities adapt to extreme heat and flooding,adaptation,adaptation,TRUE,0.773,0.96,FALSE,stable_pre_drift
142,what were the major climate outcomes from COP28 in the UAE for the GraphRAG agent,uae_cop28,uae_cop28,TRUE,0.7746,0.96,FALSE,stable_pre_drift
143,which papers explain global temperature anomalies focusing on models,climate_science,climate_science,TRUE,0.7762,0.96,FALSE,stable_pre_drift
144,which adaptation measures protect coastal communities for the GraphRAG agent,adaptation,adaptation,TRUE,0.7778,0.96,FALSE,stable_pre_drift
145,what role does machine learning play in climate analysis for the project report,technology_innovation,technology_innovation,TRUE,0.7793,0.96,FALSE,stable_pre_drift
146,what does the dataset say about how can cities adapt to extreme heat and flooding,adaptation,adaptation,TRUE,0.7808,0.96,FALSE,stable_pre_drift
147,which documents discuss UAE renewable energy commitments focusing on COP28,uae_cop28,uae_cop28,TRUE,0.7823,0.96,FALSE,stable_pre_drift
148,which AI methods are used in climate forecasting papers for the project report,technology_innovation,technology_innovation,TRUE,0.7838,0.96,FALSE,stable_pre_drift
149,which source explains what does climate science say about sea level rise,climate_science,climate_science,TRUE,0.7852,0.96,FALSE,stable_pre_drift
150,which climate policies address renewable energy targets focusing on accountability,policy_governance,policy_governance,TRUE,0.7867,0.96,FALSE,stable_pre_drift
151,what evidence mentions the UAE consensus and transition away from fossil fuels for the project report,uae_cop28,uae_cop28,TRUE,0.7881,0.96,FALSE,stable_pre_drift
152,what role does machine learning play in climate analysis using reliable citations,technology_innovation,technology_innovation,TRUE,0.7895,0.96,FALSE,stable_pre_drift
153,which regulations support climate accountability focusing on accountability,policy_governance,policy_governance,TRUE,0.7908,0.96,FALSE,stable_pre_drift
154,how can smart grids improve clean energy integration focusing on green hydrogen,technology_innovation,technology_innovation,TRUE,0.7922,0.96,FALSE,stable_pre_drift
155,which source explains which documents discuss net zero mitigation pathways,mitigation,mitigation,TRUE,0.7935,0.96,FALSE,stable_pre_drift
156,which source explains show evidence about satellite monitoring for climate risks,technology_innovation,technology_innovation,TRUE,0.7949,0.96,FALSE,stable_pre_drift
157,what does the dataset say about which papers explain global temperature anomalies,climate_science,climate_science,TRUE,0.7962,0.96,FALSE,stable_pre_drift
158,how do climate models project future warming using reliable citations,climate_science,climate_science,TRUE,0.7975,0.96,FALSE,stable_pre_drift
159,how can cities adapt to extreme heat and flooding focusing on flood risk,adaptation,adaptation,TRUE,0.7987,0.96,FALSE,stable_pre_drift
160,what evidence discusses carbon market governance for the project report,policy_governance,policy_governance,TRUE,0.8,0.96,FALSE,stable_pre_drift
161,what evidence mentions the UAE consensus and transition away from fossil fuels focusing on loss and damage,uae_cop28,uae_cop28,TRUE,0.8012,0.96,FALSE,stable_pre_drift
162,which documents discuss net zero mitigation pathways from the climate PDFs,mitigation,mitigation,TRUE,0.8025,0.96,FALSE,stable_pre_drift
163,show findings about ocean warming and ice melt using reliable citations,climate_science,climate_science,TRUE,0.8037,0.98,FALSE,stable_pre_drift
164,what evidence links emissions to radiative forcing in the evidence graph,climate_science,mitigation,FALSE,0.7988,0.96,FALSE,stable_pre_drift
165,answer using citations about how do climate models project future warming,climate_science,climate_science,TRUE,0.8,0.96,FALSE,stable_pre_drift
166,which adaptation measures protect coastal communities focusing on resilience,adaptation,adaptation,TRUE,0.8012,0.96,FALSE,stable_pre_drift
167,which source explains which UAE initiatives were discussed in the COP28 documents,uae_cop28,uae_cop28,TRUE,0.8024,0.96,FALSE,stable_pre_drift
168,show findings about ocean warming and ice melt focusing on sea level,climate_science,climate_science,TRUE,0.8036,0.96,FALSE,stable_pre_drift
169,which adaptation measures protect coastal communities for the GraphRAG agent,adaptation,adaptation,TRUE,0.8047,0.96,FALSE,stable_pre_drift
170,find evidence on show climate evidence about methane reduction strategies,mitigation,mitigation,TRUE,0.8059,0.96,FALSE,stable_pre_drift
171,how can smart grids improve clean energy integration in the evidence graph,technology_innovation,technology_innovation,TRUE,0.807,0.96,FALSE,stable_pre_drift
172,how can renewable energy reduce greenhouse gas emissions in the evidence graph,mitigation,mitigation,TRUE,0.8081,0.96,FALSE,stable_pre_drift
173,which source explains which papers explain global temperature anomalies,climate_science,climate_science,TRUE,0.8092,0.96,FALSE,stable_pre_drift
174,how can renewable energy reduce greenhouse gas emissions using reliable citations,mitigation,mitigation,TRUE,0.8103,0.96,FALSE,stable_pre_drift
175,retrieve climate evidence for show COP28 evidence about loss and damage finance,uae_cop28,uae_cop28,TRUE,0.8114,0.96,FALSE,stable_pre_drift
176,which source explains what does climate science say about sea level rise,climate_science,climate_science,TRUE,0.8125,0.96,FALSE,stable_pre_drift
177,show evidence about satellite monitoring for climate risks focusing on satellite,technology_innovation,technology_innovation,TRUE,0.8136,0.96,FALSE,stable_pre_drift
178,retrieve climate evidence for which regulations support climate accountability,policy_governance,policy_governance,TRUE,0.8146,0.96,FALSE,stable_pre_drift
179,how do NDCs guide climate policy implementation for the project report,policy_governance,climate_science,FALSE,0.8101,0.94,FALSE,stable_pre_drift
180,find evidence on what evidence links carbon pricing to emissions reduction,mitigation,mitigation,TRUE,0.8111,0.94,FALSE,stable_pre_drift
181,what evidence discusses climate resilience for agriculture from the climate PDFs,adaptation,policy_governance,FALSE,0.8066,0.94,FALSE,stable_pre_drift
182,how does energy efficiency support climate mitigation in the evidence graph,mitigation,mitigation,TRUE,0.8077,0.94,FALSE,stable_pre_drift
183,what does the dataset say about what does climate science say about sea level rise,climate_science,climate_science,TRUE,0.8087,0.94,FALSE,stable_pre_drift
184,what evidence mentions the UAE consensus and transition away from fossil fuels for the GraphRAG agent,uae_cop28,uae_cop28,TRUE,0.8098,0.94,FALSE,stable_pre_drift
185,which documents discuss UAE renewable energy commitments using reliable citations,uae_cop28,uae_cop28,TRUE,0.8108,0.94,FALSE,stable_pre_drift
186,show evidence about disaster risk reduction and resilience focusing on flood risk,adaptation,adaptation,TRUE,0.8118,0.94,FALSE,stable_pre_drift
187,what does the dataset say about how can cities adapt to extreme heat and flooding,adaptation,adaptation,TRUE,0.8128,0.94,FALSE,stable_pre_drift
188,what role does machine learning play in climate analysis in the evidence graph,technology_innovation,technology_innovation,TRUE,0.8138,0.94,FALSE,stable_pre_drift
189,how did COP28 address the global stocktake focusing on loss and damage,uae_cop28,uae_cop28,TRUE,0.8148,0.94,FALSE,stable_pre_drift
190,show evidence about satellite monitoring for climate risks using reliable citations,technology_innovation,technology_innovation,TRUE,0.8158,0.94,FALSE,stable_pre_drift
191,how does energy efficiency support climate mitigation with source support,mitigation,mitigation,TRUE,0.8168,0.94,FALSE,stable_pre_drift
192,what evidence links carbon pricing to emissions reduction focusing on emissions,mitigation,mitigation,TRUE,0.8177,0.94,FALSE,stable_pre_drift
193,how did COP28 address the global stocktake focusing on COP28,uae_cop28,uae_cop28,TRUE,0.8187,0.94,FALSE,stable_pre_drift
194,how does drought planning reduce climate risk focusing on water security,adaptation,adaptation,TRUE,0.8196,0.94,FALSE,stable_pre_drift
195,what adaptation policies help water security in the evidence graph,adaptation,adaptation,TRUE,0.8205,0.94,FALSE,stable_pre_drift
196,how does energy efficiency support climate mitigation for the GraphRAG agent,mitigation,mitigation,TRUE,0.8214,0.94,FALSE,stable_pre_drift
197,answer using citations about what were the major climate outcomes from COP28 in the UAE,uae_cop28,uae_cop28,TRUE,0.8223,0.94,FALSE,stable_pre_drift
198,how do NDCs guide climate policy implementation focusing on accountability,policy_governance,policy_governance,TRUE,0.8232,0.94,FALSE,stable_pre_drift
199,what does the dataset say about which AI methods are used in climate forecasting papers,technology_innovation,technology_innovation,TRUE,0.8241,0.94,FALSE,stable_pre_drift
200,what does climate science say about sea level rise focusing on attribution,climate_science,climate_science,TRUE,0.825,0.94,FALSE,stable_pre_drift
201,show climate evidence about methane reduction strategies from the climate PDFs,mitigation,mitigation,TRUE,0.8259,0.94,FALSE,stable_pre_drift
202,how can smart grids improve clean energy integration with source support,technology_innovation,technology_innovation,TRUE,0.8267,0.94,FALSE,stable_pre_drift
203,which adaptation measures protect coastal communities focusing on flood risk,adaptation,adaptation,TRUE,0.8276,0.94,FALSE,stable_pre_drift
204,answer using citations about show documents about climate finance policy,policy_governance,policy_governance,TRUE,0.8284,0.94,FALSE,stable_pre_drift
205,find evidence on what technologies support carbon capture and storage,technology_innovation,technology_innovation,TRUE,0.8293,0.94,FALSE,stable_pre_drift
206,find evidence on which innovations support green hydrogen deployment,technology_innovation,technology_innovation,TRUE,0.8301,0.94,FALSE,stable_pre_drift
207,which climate policies address renewable energy targets for the project report,policy_governance,policy_governance,TRUE,0.8309,0.94,FALSE,stable_pre_drift
208,explain the science behind climate feedback loops in the evidence graph,climate_science,climate_science,TRUE,0.8317,0.94,FALSE,stable_pre_drift
209,what governance mechanisms support national climate plans in the evidence graph,policy_governance,policy_governance,TRUE,0.8325,0.94,FALSE,stable_pre_drift
210,what adaptation policies help water security focusing on flood risk,adaptation,adaptation,TRUE,0.8333,0.94,FALSE,stable_pre_drift
211,what evidence links emissions to radiative forcing focusing on sea level,climate_science,climate_science,TRUE,0.8341,0.94,FALSE,stable_pre_drift
212,what does the dataset say about how can smart grids improve clean energy integration,technology_innovation,technology_innovation,TRUE,0.8349,0.94,FALSE,stable_pre_drift
213,show evidence about satellite monitoring for climate risks focusing on carbon capture,technology_innovation,technology_innovation,TRUE,0.8357,0.94,FALSE,stable_pre_drift
214,retrieve climate evidence for what evidence discusses carbon market governance,policy_governance,policy_governance,TRUE,0.8364,0.96,FALSE,stable_pre_drift
215,which innovations support green hydrogen deployment focusing on carbon capture,technology_innovation,technology_innovation,TRUE,0.8372,0.96,FALSE,stable_pre_drift
216,show evidence about disaster risk reduction and resilience from the climate PDFs,adaptation,adaptation,TRUE,0.838,0.96,FALSE,stable_pre_drift
